name,displayName,types,layout,manaCost,manaValue,family,supportLevel,mechanics,targetMin,targetMax,targetZones,registeredActivatedAbilities,registeredTriggeredAbilities,cpuCast,cpuResolve,cpuTargetPlan,cpuActivatedPath,cpuPhasePath,legacyChecklistCount,nonblocking,notes
Nihil Spellbomb,虚無の呪文爆弾,Artifact,normal,1,1,nihil_spellbomb,exact,draw|exile|sacrifice,0,1,battlefield,1,1,yes,yes,yes,direct-v9,registered-bounded,0,yes,
Quantum Riddler,量（りょう）子（し）の謎（なぞ）かけ屋（や）,Creature,normal,3UU,5,quantum_riddler,exact,draw|flying,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Stomping Ground,踏（ふ）み鳴（な）らされる地（ち）,Land,normal,,0,shock_land,exact,life|mana|tap,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Summon: Bahamut,召喚：バハムート,Creature|Enchantment,saga,9,9,bahamut,bounded,draw|damage|destroy|flying,1,1,battlefield,0,0,yes,yes,yes,none,none,4,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Summoner's Pact,召喚士の契約,Instant,normal,0,0,tutor,exact,search|reveal|tutor,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
The Fantasticar,ファンタスティッカー,Artifact,normal,3,3,fantasticar,bounded,sacrifice|token|flying,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,3,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
The Stone Brain,石の脳,Artifact,normal,2,2,stone_brain,exact,draw|search|exile|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Tropical Island,Tropical Island,Land,normal,,0,dual_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Underground Sea,Underground Sea,Land,normal,,0,dual_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Volcanic Island,Volcanic Island,Land,normal,,0,dual_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Windswept Heath,吹きさらしの荒野,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
City of Traitors,裏切り者の都,Land,normal,,0,city_of_traitors,bounded,sacrifice|mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Copperline Gorge,銅線の地溝,Land,normal,,0,fast_land,exact,mana|tap,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Ensnaring Bridge,罠の橋,Artifact,normal,3,3,ensnaring_bridge,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Gemstone Caverns,宝石の洞窟,Land,normal,,0,gemstone_caverns,exact,exile|mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Greater Gargadon,大いなるガルガドン,Creature,normal,9R,10,greater_gargadon,bounded,sacrifice|suspend,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Hexing Squelcher,呪詛の壊し屋,Creature,normal,1R,2,hexing_squelcher,exact,counter|life|ward,0,1,battlefield,0,0,yes,yes,yes,none,none,0,yes,
Lórien Revealed,ロリアンの発見,Sorcery,normal,3UU,5,draw,exact,draw|search|discard|reveal|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,1,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Misty Rainforest,霧深い雨林,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Mutagenic Growth,変異原性の成長,Instant,normal,G/P,1,pump,exact,life,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Pact of Negation,否定の契約,Instant,normal,0,0,hard_counter,exact,counter,1,1,stack,0,1,yes,yes,yes,none,registered-bounded,0,yes,
Petrified Hamlet,Petrified Hamlet,Land,normal,,0,petrified_hamlet,bounded,mana,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,2,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Sublime Epiphany,崇高な天啓,Instant,normal,4UU,6,sublime_epiphany,bounded,draw|counter|bounce|token|copy,1,1,stack,0,0,yes,yes,yes,none,none,3,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Thespian's Stage,演劇の舞台,Land,normal,,0,thespians_stage,exact,mana|copy,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,0,yes,
Thundering Falls,轟音の滝,Land,normal,,0,surveil_land,exact,surveil|tap,0,1,battlefield,0,1,yes,yes,yes,mana-core,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
